"Reference","Qty","Value","Footprint","DigiKey_Part_Number","MF","MP","Package","LCSC Part #","Assembly Note"
"C1,C10","2","1uF","Capacitor_SMD:C_0402_1005Metric","","Samsung","CL05A105KA5NQNC","0402","C52923","1uF 25V X5R MLCC"
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17,C20","12","0.1uF","Capacitor_SMD:C_0402_1005Metric","","Samsung","CL05B104KO5NNNC","0402","C1525","100nF 16V X7R MLCC"
"C13,C14","2","4.7uF","Capacitor_SMD:C_0603_1608Metric","","Samsung","CL10A475KO8NNNC","0603","C19666","4.7uF 16V X5R MLCC"
"C15,C16","2","33pF","Capacitor_SMD:C_0402_1005Metric","","FH","0402CG330J500NT","0402","C1562","33pF 50V C0G/NP0 crystal load cap"
"C18,C19","2","10uF","Capacitor_SMD:C_0603_1608Metric","","Samsung","CL10A106KP8NNNC","0603","C19702","10uF 10V X5R MLCC"
"D1","1","Red LED","LED_SMD:LED_0402_1005Metric","","NationStar","NCD0402R1","0402","C130719","0402 red indicator LED"
"J1","1","TYPE-C-31-M-12","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","","Korean Hroparts Elec","TYPE-C-31-M-12","USB-C SMD 16P","C165948","Exact KiCad footprint match"
"J2,J3","2","Conn_01x20_Pin","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","","","","","","Do not assemble; hand-solder headers"
"J4","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","","Do not assemble; hand-solder SWD header"
"J5","1","B2B-PH-K-S(LF)(SN)","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","","JST","B2B-PH-K-S(LF)(SN)","JST-PH 2P vertical THT","C131337","Verify battery cable polarity before use"
"R1,R2","2","5.1K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF5101TCE","0402","C25905","1% USB-C CC pulldown"
"R3,R4","2","27","Resistor_SMD:R_0402_1005Metric","","Yageo","RC0402FR-0727RL","0402","C138021","1% USB D+/D- series resistor"
"R5,R6","2","1K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF1001TCE","0402","C11702","1%"
"R7,R8","2","10K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF1002TCE","0402","C25744","1%"
"R9","1","8.87K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF8871TCE","0402","C36953","1% BQ24075 ISET"
"R10","1","47K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF4702TCE","0402","C25792","1%"
"R11","1","3.09K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF3091TCE","0402","C11460","1%; used instead of nominal 3.1K"
"R12,R13,R14","3","4.7K","Resistor_SMD:R_0402_1005Metric","","UNI-ROYAL","0402WGF4701TCE","0402","C25900","1%"
"SW1","1","TS-1088-AR02016","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","","XUNPU","TS-1088-AR02016","SMD 4x3mm tactile","C720477","Close match to Alps SKRK footprint; verify JLC preview"
"U1","1","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","","Raspberry Pi","RP2040","LQFN-56 7x7mm","C2040",""
"U2","1","MCP1700T-3302E/TT","Package_TO_SOT_SMD:SOT-23","","Microchip","MCP1700T-3302E/TT","SOT-23-3","C39051","3.3V LDO"
"U3","1","W25Q16JVUXIQ","Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","","Winbond","W25Q16JVUXIQ","USON-8-EP 2x3mm","C2843335","Corrects prior ZPIQ/WSON package mismatch"
"U4","1","BQ24075RGTR","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","","Texas Instruments","BQ24075RGTR","QFN-16-EP 3x3mm","C15464","Tape/reel orderable form of BQ24075RGT"
"U5","1","MAX17048G+T10","MAX17048G_T10:21-0168E_T822-3_MXM","MAX17048G+T10CT-ND","Analog Devices/Maxim","MAX17048G+T10","DFN-8-EP 2x2mm","C2682616",""
"U6","1","USBLC6-2SC6","USBLC6_2SC6:SOT23-6L_STM-L","","STMicroelectronics","USBLC6-2SC6","SOT-23-6L","C7519","Do not substitute USBLC6-2P6"
"Y1","1","12 MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","YXC","X322512MSB4SI","SMD3225-4P","C9002","12MHz 20pF crystal"
